iter	AUC	Logloss
0	0.8651041687	0.5528698442
500	0.9774262011	0.03957462727
1000	0.9814522266	0.03536642823
1500	0.9838534594	0.03270987238
2000	0.9857634306	0.0306256604
2500	0.987321496	0.0288888529
